Municípios,Gentílico,IDEB – Anos finais do ensino fundamental (Rede pública),Matrículas no ensino fundamental,Matrículas no ensino médio,Docentes no ensino fundamental,Docentes no ensino médio,População no último censo
Acauã,piauiense,5.6,764 matrículas,228 matrículas,53 docentes,15 docentes,6420 pessoas
Agricolândia,piauiense,5.2,661 matrículas,208 matrículas,54 docentes,27 docentes,4940 pessoas
Água Branca,piauiense,5.6,2454 matrículas,606 matrículas,161 docentes,53 docentes,17573 pessoas
Alagoinha do Piauí,piauiense,5.7,750 matrículas,165 matrículas,61 docentes,18 docentes,6819 pessoas
Alegrete do Piauí,piauiense,5,568 matrículas,151 matrículas,44 docentes,17 docentes,4634 pessoas
Alto Longá,piauiense,5,1382 matrículas,361 matrículas,114 docentes,34 docentes,13479 pessoas
Altos,piauiense,5.6,6304 matrículas,1822 matrículas,355 docentes,156 docentes,47453 pessoas
Alvorada do Gurguéia,piauiense,3.2,855 matrículas,204 matrículas,92 docentes,20 docentes,5322 pessoas
Amarante,piauiense,4.3,2676 matrículas,594 matrículas,205 docentes,49 docentes,17234 pessoas
Angical do Piauí,piauiense,5.2,929 matrículas,627 matrículas,64 docentes,80 docentes,6827 pessoas
Anísio de Abreu,piauiense,5,1391 matrículas,334 matrículas,111 docentes,28 docentes,9407 pessoas
Antônio Almeida,piauiense,5.6,434 matrículas,122 matrículas,27 docentes,14 docentes,3152 pessoas
Aroazes,piauiense,4.6,663 matrículas,248 matrículas,56 docentes,22 docentes,5369 pessoas
Aroeiras do Itaim,piauiense,4.8,257 matrículas,68 matrículas,22 docentes,11 docentes,2690 pessoas
Arraial,piauiense,4.3,588 matrículas,128 matrículas,55 docentes,10 docentes,4520 pessoas
Assunção do Piauí,piauiense,4.3,1253 matrículas,401 matrículas,98 docentes,25 docentes,7452 pessoas
Avelino Lopes,piauiense,4.2,1618 matrículas,426 matrículas,89 docentes,21 docentes,10866 pessoas
Baixa Grande do Ribeiro,piauiense,5.5,2353 matrículas,620 matrículas,147 docentes,47 docentes,13272 pessoas
Barra D'Alcântara,piauiense,4.3,554 matrículas,165 matrículas,25 docentes,13 docentes,3995 pessoas
Barras,piauiense,4.6,7121 matrículas,2095 matrículas,585 docentes,177 docentes,47938 pessoas
