"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Município";"Idade";"Ano x Sexo x Cor ou raça"
"Município";"Idade";"2022"
"Município";"Idade";"Total"
"Município";"Idade";"Total"
"Açailândia (MA)";"Total";"87,14"
"Afonso Cunha (MA)";"Total";"76,78"
"Água Doce do Maranhão (MA)";"Total";"74,30"
"Alcântara (MA)";"Total";"81,52"
"Aldeias Altas (MA)";"Total";"71,54"
"Altamira do Maranhão (MA)";"Total";"75,30"
"Alto Alegre do Maranhão (MA)";"Total";"76,25"
"Alto Alegre do Pindaré (MA)";"Total";"77,84"
"Alto Parnaíba (MA)";"Total";"87,06"
"Amapá do Maranhão (MA)";"Total";"79,24"
"Amarante do Maranhão (MA)";"Total";"80,40"
"Anajatuba (MA)";"Total";"78,02"
"Anapurus (MA)";"Total";"78,29"
"Apicum-Açu (MA)";"Total";"84,45"
"Araguanã (MA)";"Total";"79,85"
"Araioses (MA)";"Total";"72,38"
"Arame (MA)";"Total";"75,01"
"Arari (MA)";"Total";"84,46"
"Axixá (MA)";"Total";"87,50"
"Bacabal (MA)";"Total";"85,13"
"Bacabeira (MA)";"Total";"85,98"
"Bacuri (MA)";"Total";"80,93"
"Bacurituba (MA)";"Total";"83,02"
"Balsas (MA)";"Total";"91,59"
"Barão de Grajaú (MA)";"Total";"83,48"
"Barra do Corda (MA)";"Total";"79,76"
"Barreirinhas (MA)";"Total";"83,11"
"Belágua (MA)";"Total";"76,35"
"Bela Vista do Maranhão (MA)";"Total";"79,49"
"Benedito Leite (MA)";"Total";"78,44"
"Bequimão (MA)";"Total";"81,47"
"Bernardo do Mearim (MA)";"Total";"82,33"
"Boa Vista do Gurupi (MA)";"Total";"80,90"
"Bom Jardim (MA)";"Total";"75,07"
"Bom Jesus das Selvas (MA)";"Total";"77,67"
"Bom Lugar (MA)";"Total";"73,11"
"Brejo (MA)";"Total";"76,82"
"Brejo de Areia (MA)";"Total";"74,58"
"Buriti (MA)";"Total";"76,36"
"Buriti Bravo (MA)";"Total";"76,57"
"Buriticupu (MA)";"Total";"79,45"
"Buritirana (MA)";"Total";"79,45"
"Cachoeira Grande (MA)";"Total";"77,80"
"Cajapió (MA)";"Total";"79,79"
"Cajari (MA)";"Total";"85,35"
"Campestre do Maranhão (MA)";"Total";"84,45"
"Cândido Mendes (MA)";"Total";"82,87"
"Cantanhede (MA)";"Total";"82,95"
"Capinzal do Norte (MA)";"Total";"75,17"
"Carolina (MA)";"Total";"87,75"
"Carutapera (MA)";"Total";"85,70"
"Caxias (MA)";"Total";"82,48"
"Cedral (MA)";"Total";"86,80"
"Central do Maranhão (MA)";"Total";"79,26"
"Centro do Guilherme (MA)";"Total";"79,86"
"Centro Novo do Maranhão (MA)";"Total";"79,73"
"Chapadinha (MA)";"Total";"80,88"
"Cidelândia (MA)";"Total";"80,95"
"Codó (MA)";"Total";"77,70"
"Coelho Neto (MA)";"Total";"78,46"
"Colinas (MA)";"Total";"78,29"
"Conceição do Lago-Açu (MA)";"Total";"76,99"
"Coroatá (MA)";"Total";"76,24"
"Cururupu (MA)";"Total";"85,49"
"Davinópolis (MA)";"Total";"85,74"
"Dom Pedro (MA)";"Total";"83,75"
"Duque Bacelar (MA)";"Total";"73,31"
"Esperantinópolis (MA)";"Total";"78,83"
"Estreito (MA)";"Total";"88,51"
"Feira Nova do Maranhão (MA)";"Total";"83,94"
"Fernando Falcão (MA)";"Total";"73,77"
"Formosa da Serra Negra (MA)";"Total";"85,92"
"Fortaleza dos Nogueiras (MA)";"Total";"89,06"
"Fortuna (MA)";"Total";"79,52"
"Godofredo Viana (MA)";"Total";"86,55"
"Gonçalves Dias (MA)";"Total";"75,77"
"Governador Archer (MA)";"Total";"79,08"
"Governador Edison Lobão (MA)";"Total";"84,58"
"Governador Eugênio Barros (MA)";"Total";"76,05"
"Governador Luiz Rocha (MA)";"Total";"77,49"
"Governador Newton Bello (MA)";"Total";"81,39"
"Governador Nunes Freire (MA)";"Total";"81,96"
"Graça Aranha (MA)";"Total";"79,36"
"Grajaú (MA)";"Total";"82,84"
"Guimarães (MA)";"Total";"88,95"
"Humberto de Campos (MA)";"Total";"81,57"
"Icatu (MA)";"Total";"82,05"
"Igarapé do Meio (MA)";"Total";"78,74"
"Igarapé Grande (MA)";"Total";"76,63"
"Imperatriz (MA)";"Total";"93,22"
