Cidades,Cluster,Número do Cluster,Perfil,Nome do Cluster,tx_distorcao_fundamental,taxa_escolas_por_habitante,ideb_ano_inicial,Total_alfabetização,Taxa de abandonos EF
Acauã,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,10.2,0.6230529595015577,6.2,83.11,0.0
Agricolândia,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,14.2,0.4048582995951417,5.2,78.97,0.6
Alagoinha do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,10.3,0.7332453438920663,5.3,66.39,1.5
Alegrete do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,8.6,0.6473888649115235,5.8,70.79,0.2
Alto Longá,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,10.1,0.8160842792492025,5.6,71.75,0.1
Altos,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,9.5,0.3371757317767053,7.0,83.02,0.2
Alvorada do Gurguéia,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,21.9,0.7515971439308531,4.8,82.52,2.5
Amarante,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.9,0.6382731809214344,4.4,77.91,0.2
Angical do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,9.9,0.5859088911674235,6.8,81.85,0.0
Antônio Almeida,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,4.8,0.6345177664974618,6.1,83.05,0.0
Anísio de Abreu,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,13.4,0.8504305304560433,5.3,77.16,0.0
Aroazes,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,16.4,0.5587632706276774,5.8,75.91,0.8
Aroeiras do Itaim,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,13.6,0.3717472118959107,5.1,65.37,0.0
Arraial,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,16.0,0.6637168141592921,5.4,76.25,0.2
Assunção do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,17.3,0.6709608158883522,5.7,68.7,1.0
Avelino Lopes,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,21.1,0.4601509295048776,4.6,81.1,0.0
Baixa Grande do Ribeiro,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,10.8,0.6781193490054249,5.8,85.09,0.2
Barra D'Alcântara,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.0,0.2503128911138924,6.1,78.09,0.0
Barras,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,11.8,0.7092494472026367,5.6,75.04,0.5
Barreiras do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,45.1,0.6127450980392157,4.1,83.83,5.3
Barro Duro,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,14.8,0.6024096385542169,5.4,76.64,2.5
Batalha,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,24.0,0.5703422053231939,4.9,74.75,0.7
Bela Vista do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,10.9,0.2444390124663896,6.8,84.28,0.0
Belém do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,0.2,0.2921413964358749,6.8,70.68,0.0
Beneditinos,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,12.9,0.5035753852351698,6.3,73.81,0.2
Bertolínia,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,26.6,0.719165767709457,4.9,83.36,1.3
Betânia do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,19.2,0.8038585209003215,4.8,71.36,1.0
Boa Hora,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,19.5,0.5795421616922631,4.5,71.66,0.4
Bocaina,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,10.8,0.4904364884747425,5.1,82.47,0.0
Bom Jesus,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,12.1,0.4514515904986803,7.3,88.1,0.5
Bom Princípio do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,23.5,0.177430801987225,4.8,77.32,1.5
Bonfim do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,15.7,0.5073566717402334,4.3,70.53,0.9
Boqueirão do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,16.0,0.6111535523300229,5.3,78.43,0.2
Brasileira,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,9.3,0.7112375533428166,5.5,75.24,0.2
Brejo do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,22.4,0.2561475409836066,5.4,74.17,0.0
Buriti dos Lopes,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,17.0,0.559682507377633,5.5,76.54,0.5
Buriti dos Montes,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,3.3,0.8071025020177562,7.3,76.57,0.0
Cabeceiras do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,4.7,0.4896200548374462,5.7,73.21,0.0
Cajazeiras do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.1,0.6435006435006435,4.9,80.96,0.0
Cajueiro da Praia,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,18.8,0.628377529219555,6.4,80.86,0.0
Caldeirão Grande do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,3.8,0.7268762493185535,7.2,74.03,0.0
