Cidades,tx_distorcao_medio,tx_distorcao_fundamental,Media_Enem,taxa_escolas_por_habitante,ideb_ano_final,ideb_ensino_medio,ideb_ano_inicial,populacao,Idade,Total_alfabetização,Taxa aprovados fundamental total ,Taxa aprovados total EM,Taxa de abandonos EF,Taxa de abandonos EM,Dependencia,Localizacao
Acauã,21.5,10.2,,0.6230529595015577,5.6,4.5,6.2,6420.0,Total,83.11,99.9,99.1,0.0,0.9,Pública,Total
Agricolândia,22.1,14.2,,0.4048582995951417,5.2,4.9,5.2,4940.0,Total,78.97,99.2,100.0,0.6,0.0,Pública,Total
Alagoinha do Piauí,16.4,10.3,,0.7332453438920663,5.7,4.2,5.3,6819.0,Total,66.39,96.6,93.8,1.5,1.9,Pública,Total
Alegrete do Piauí,13.9,8.6,,0.6473888649115235,5.0,4.4,5.8,4634.0,Total,70.79,99.3,96.6,0.2,3.4,Pública,Total
Alto Longá,25.8,10.1,,0.8160842792492025,5.0,4.3,5.6,13479.0,Total,71.75,99.3,89.5,0.1,9.3,Pública,Total
Altos,23.8,9.5,489.4828049458777,0.33717573177670535,5.6,4.2,7.0,47453.0,Total,83.02,99.7,97.9,0.2,0.6,Pública,Total
Alvorada do Gurguéia,24.5,21.9,,0.7515971439308531,3.2,4.1,4.8,5322.0,Total,82.52,95.8,99.5,2.5,0.5,Pública,Total
Amarante,30.1,13.9,469.95363794954375,0.6382731809214344,4.3,3.6,4.4,17234.0,Total,77.91,97.4,91.9,0.2,4.8,Pública,Total
Angical do Piauí,23.3,9.9,,0.5859088911674235,5.2,4.4,6.8,6827.0,Total,81.85,99.8,97.1,0.0,0.8,Pública,Total
Antônio Almeida,36.1,4.8,,0.6345177664974618,5.6,4.155348837209303,6.1,3152.0,Total,83.05,100.0,89.6,0.0,10.4,Pública,Total
Anísio de Abreu,30.5,13.4,,0.8504305304560433,5.0,4.7,5.3,9407.0,Total,77.16,99.8,99.7,0.0,0.3,Pública,Total
Aroazes,27.4,16.4,,0.5587632706276774,4.6,4.4,5.8,5369.0,Total,75.91,94.0,97.5,0.8,2.1,Pública,Total
Aroeiras do Itaim,33.8,13.6,,0.37174721189591076,4.8,4.5,5.1,2690.0,Total,65.37,100.0,97.1,0.0,1.4,Pública,Total
Arraial,31.3,16.0,,0.6637168141592921,4.3,4.4,5.4,4520.0,Total,76.25,94.6,96.9,0.2,2.3,Pública,Total
Assunção do Piauí,23.4,17.3,,0.6709608158883522,4.3,4.0,5.7,7452.0,Total,68.7,94.6,95.7,1.0,3.8,Pública,Total
Avelino Lopes,31.5,21.1,,0.4601509295048776,4.2,3.8,4.6,10866.0,Total,81.1,98.6,99.5,0.0,0.5,Pública,Total
Baixa Grande do Ribeiro,22.1,10.8,,0.6781193490054249,5.5,3.6,5.8,13272.0,Total,85.09,98.2,95.7,0.2,4.3,Pública,Total
Barra D'Alcântara,32.7,13.0,,0.2503128911138924,4.3,4.5,6.1,3995.0,Total,78.09,96.9,93.8,0.0,3.7,Pública,Total
Barras,34.0,11.8,481.8493690308439,0.7092494472026367,4.6,3.9,5.6,47938.0,Total,75.04,97.3,97.4,0.5,2.6,Pública,Total
Barreiras do Piauí,49.6,45.1,,0.6127450980392157,2.6,3.4,4.1,3264.0,Total,83.83,79.6,98.2,5.3,0.0,Pública,Total
Barro Duro,25.6,14.8,,0.6024096385542169,3.5,3.4,5.4,6640.0,Total,76.64,94.3,88.7,2.5,8.1,Pública,Total
Batalha,36.9,24.0,483.64804135649297,0.5703422053231939,5.3,4.2,4.9,26300.0,Total,74.75,99.2,97.2,0.7,2.4,Pública,Total
Bela Vista do Piauí,14.8,10.9,,0.24443901246638963,5.5,4.9,6.8,4091.0,Total,84.28,99.2,97.3,0.0,2.0,Pública,Total
Belém do Piauí,12.8,0.2,,0.29214139643587494,5.1,4.0,6.8,3423.0,Total,70.68,100.0,92.5,0.0,4.8,Pública,Total
Beneditinos,26.8,12.9,,0.5035753852351698,5.3,4.2,6.3,9929.0,Total,73.81,99.2,95.8,0.2,0.8,Pública,Total
Bertolínia,35.3,26.6,,0.719165767709457,4.2,4.4,4.9,5562.0,Total,83.36,88.3,98.8,1.3,0.8,Pública,Total
Betânia do Piauí,24.0,19.2,,0.8038585209003215,4.0,4.0,4.8,6220.0,Total,71.36,90.7,97.1,1.0,2.9,Pública,Total
Boa Hora,24.1,19.5,,0.5795421616922631,4.5,4.7,4.5,6902.0,Total,71.66,97.0,99.8,0.4,0.2,Pública,Total
Bocaina,10.4,10.8,,0.4904364884747425,4.2,4.8,5.1,4078.0,Total,82.47,99.7,98.9,0.0,1.1,Pública,Total
Bom Jesus,31.2,12.1,476.28657900186374,0.45145159049868033,5.2,3.8,7.3,28796.0,Total,88.1,99.5,92.4,0.5,1.4,Pública,Total
Bom Princípio do Piauí,43.5,23.5,,0.177430801987225,4.4,4.0,4.8,5636.0,Total,77.32,97.6,99.5,1.5,0.5,Pública,Total
Bonfim do Piauí,29.1,15.7,,0.5073566717402334,4.9,4.2,4.3,5913.0,Total,70.53,94.8,100.0,0.9,0.0,Pública,Total
Boqueirão do Piauí,36.5,16.0,,0.6111535523300229,5.0,4.2,5.3,6545.0,Total,78.43,97.0,96.6,0.2,2.8,Pública,Total
Brasileira,19.9,9.3,,0.7112375533428166,4.8,3.9,5.5,8436.0,Total,75.24,99.4,96.4,0.2,1.1,Pública,Total
