Cidades,Desmatamento Caatinga por ha (2023),Desmatamento Cerrado por ha (2023),Áreas Queimadas por ha (2024),Emissões de GEE (ton/ano) (2023),cluster
Acauã,7.654708998937573e-05,0.0,0.39068703458204707,0.0,3
Agricolândia,0.0,0.0,0.5197336109331626,54444.7676,0
Água Branca,0.0,0.00011815670326010926,0.25715805125875135,34573.91356,2
Alagoinha do Piauí,5.52352161824255e-05,4.9066362816996025e-05,0.3147853104181828,14109.87043,3
Alegrete do Piauí,5.005497841891914e-05,5.211822034037385e-05,0.26188108250045133,0.0,4
Alto Longá,0.0,1.3457992504005265e-05,0.0963307025458734,122730.4039,1
Altos,0.0,2.6686626293312382e-05,0.05246909840038779,182415.985,1
Alvorada do Gurguéia,7.654708998937573e-05,0.0,0.1479837260603536,379289.45196900005,3
Amarante,2.1785792712088163e-05,6.025715229310658e-06,0.24551894018628156,143865.8292,0
Angical do Piauí,0.0,0.00011815670326010926,0.2561858131238514,75705.74218,2
Anísio de Abreu,1.7166010116107338e-05,0.0,0.3332946604829568,0.0,4
Antônio Almeida,0.0,4.135067881513648e-06,0.5126605148883375,161573.3976,0
Aroazes,0.0,0.0,0.3022482623244668,66323.29183,0
Aroeiras do Itaim,2.7511186301326543e-05,0.0,0.490109570414407,0.0,4
Arraial,2.6511328832754528e-05,0.00011815670326010926,0.14453507771041718,58285.24797,2
Assunção do Piauí,1.313063264216128e-05,9.99312244669821e-06,0.28196821085666735,0.0,4
Avelino Lopes,1.9256439230365193e-05,9.862289975753274e-05,0.11880952595563152,34110.18704,2
Baixa Grande do Ribeiro,0.0,8.271055223420923e-07,0.3401394047700608,379289.45196900005,0
Barra D'Alcântara,0.0,2.2210638395411132e-05,0.29849096206377895,28142.18252,0
Barras,0.0,3.239289950055355e-05,0.21046526951704694,377668.2812,1
Barreiras do Piauí,0.0,0.0,0.27624637284878173,0.0,4
Barro Duro,0.0,0.0,0.23891341980481196,47467.25344,0
Batalha,0.0,2.0708556265500993e-05,0.31291463684014775,129135.4807,0
Bela Vista do Piauí,3.566476721726656e-05,4.367402468883492e-05,0.12794755275580455,3059.242573,1
Belém do Piauí,2.548985750347402e-05,0.0,0.17715903204321762,0.0,4
Beneditinos,0.0,1.3774464378325426e-05,0.059841553391427584,44350.45894,1
Bertolínia,0.0,0.0,0.5301206463857066,53786.14085,0
Betânia do Piauí,4.969149861277899e-05,0.00011815670326010926,0.5601391361961158,0.0,2
Boa Hora,0.0,0.0,0.05585985030597648,29502.94434,1
Bocaina,9.936900680677695e-06,0.0,0.4139338278852364,0.0,4
Bom Jesus,0.0,2.719675826623284e-06,0.12024065700326976,379289.45196900005,1
Bom Princípio do Piauí,3.134904098695956e-05,1.6965666090659894e-05,0.3243398541887289,43848.30587,0
Bonfim do Piauí,8.30021891827397e-06,0.0,0.0937610021130974,0.0,4
Boqueirão do Piauí,0.0,3.2942068194791425e-05,0.048583692259791096,27352.44149,1
Brasileira,7.654708998937573e-05,0.0,0.1423176391518966,206049.1074,3
Brejo do Piauí,3.219651695433299e-06,9.134017913612775e-06,0.10218958367698336,0.0,4
Buriti dos Lopes,1.6074376574854462e-05,0.0,0.10675587221594694,55134.75189,1
Buriti dos Montes,1.4318970872177133e-05,0.0,0.36539802225881973,8311.734972,0
Cabeceiras do Piauí,0.0,0.0,0.07581261180753252,68126.77157,1
Cajazeiras do Piauí,4.318175629150409e-05,0.0,0.19401271333149195,0.0,4
Cajueiro da Praia,7.654708998937573e-05,0.0,0.3584197813139601,31679.05714,3
Caldeirão Grande do Piauí,7.654708998937573e-05,0.0,0.31118154842190454,0.0,3
Campinas do Piauí,2.2070746310166702e-05,5.990075851924428e-05,0.11163166603516265,0.0,4
Campo Alegre do Fidalgo,1.1097665537643888e-05,0.0001155047636501286,0.1733248605950781,0.0,2
Campo Grande do Piauí,8.662675419177238e-06,6.863219743199799e-05,0.10966369568983772,1992.678436,2
Campo Largo do Piauí,0.0,0.0,0.08220687837549522,71195.20796,1
Campo Maior,0.0,1.063722387514494e-05,0.15665179928619916,228522.3006,1
Canavieira,2.5862741810863e-06,0.0,0.2606642937601055,176338.6387,0
Canto do Buriti,7.397744104171334e-06,0.0,0.14555671838845693,236938.4419,1
Capitão de Campos,0.0,1.863678995133454e-05,0.0348664761098419,71877.60584,1
Capitão Gervásio Oliveira,7.413977996372447e-06,0.0,0.12150600841133458,0.0,4
Caracol,2.6443875976980172e-05,1.2047442833740648e-05,0.14179305618578747,0.0,4
Caraúbas do Piauí,0.0,4.4176755288445216e-05,0.37334046382126246,45831.60536,0
Caridade do Piauí,5.7739382870248774e-05,3.9023642372687665e-05,0.42656131902412425,0.0,3
Castelo do Piauí,1.7655612151601173e-06,5.3452180026710415e-06,0.1775917913173903,52090.67607,1
Caxingó,0.0,1.7137547104112663e-05,0.19823414302382641,67786.9718,1
Cocal,2.2717929855687053e-05,3.202422558131628e-06,0.3222324306948595,337557.3334,0
Cocal de Telha,0.0,4.993014621758285e-07,0.05411210766667419,16679.91622,1
Cocal dos Alves,1.8777550668603937e-05,0.0,0.1973092693377989,7319.094756,1
Coivaras,0.0,0.0,0.10460306320439253,15236.43768,1
Colônia do Gurguéia,6.215214005880011e-05,0.0,0.32347907661007796,49553.21819,3
Colônia do Piauí,4.420154642267413e-06,0.00011815670326010926,0.34579480168765714,3018.298925,2
