Cidades,PC01 - Mortalidade infantil ≤ 1 ano,PC03 - % Crianças alfabetizadas na idade certa,PC04 - % Vacinação infantil BCG,PC05 - % Atendimento do ensino infantil,cluster
Acauã,2,81.71,110.94,52.97,3
Agricolândia,0,32.61,62.0,72.61,1
Água Branca,1,90.64,52.16,68.59,2
Alagoinha do Piauí,0,44.44,75.36,53.51,1
Alegrete do Piauí,0,53.89,90.2,67.61,1
Alto Longá,2,90.92,60.66,59.45,2
Altos,10,61.91,82.13,58.34,0
Alvorada do Gurguéia,0,68.36,84.42,63.53,1
Amarante,4,22.26,109.5,71.37,3
Angical do Piauí,2,61.5,64.86,57.5,1
Anísio de Abreu,4,46.55,92.44,67.87,0
Antônio Almeida,0,95.63,71.7,64.36,2
Aroazes,2,57.69,71.93,81.62,2
Aroeiras do Itaim,1,53.33,66.67,62.89,1
Arraial,0,83.8,72.0,89.47,2
Assunção do Piauí,1,84.48,112.63,75.04,3
Avelino Lopes,1,40.98,96.03,60.9,3
Baixa Grande do Ribeiro,3,48.61,88.38,76.96,3
Barra D'Alcântara,1,61.11,72.92,63.5,1
Barras,5,55.68,81.21,70.32,0
Barreiras do Piauí,1,38.39,77.27,48.01,1
Barro Duro,1,38.31,38.04,65.22,1
Batalha,1,43.66,86.5,58.73,1
Bela Vista do Piauí,0,61.05,121.82,56.25,3
Belém do Piauí,1,100.0,65.71,96.38,2
Beneditinos,1,77.58,107.22,68.51,3
Bertolínia,0,59.48,92.42,87.82,2
Betânia do Piauí,1,42.53,81.48,68.35,1
Boa Hora,3,58.74,96.0,68.6,3
Bocaina,1,90.77,69.77,54.78,1
Bom Jesus,5,99.08,116.17,65.76,0
Bom Princípio do Piauí,0,87.91,113.75,53.71,3
Bonfim do Piauí,1,50.63,85.45,53.86,1
Boqueirão do Piauí,0,96.48,90.54,67.16,2
Brasileira,0,33.17,75.27,60.9,1
Brejo do Piauí,1,50.33,86.84,75.91,1
Buriti dos Lopes,0,41.5,112.64,67.71,3
Buriti dos Montes,0,84.87,86.57,75.44,2
Cabeceiras do Piauí,0,19.85,87.84,59.38,1
Cajazeiras do Piauí,0,100.0,103.33,99.57,2
