Municipio,População (Censo 2022),IDEB AI - Pública,IDEB Anos Finais - Pública,SAEPI Português 2º ano Ensino Fundamental ,SAEPI Matemática 2º ano Ensino Fundamental ,Taxa de evasão ensino fund. Anos Iniciais,Taxa de evasão ensino fund. Anos Finais ,Taxa de Abandono - Anos Iniciais,Taxa de Abandono - Anos Finais,SAEPI_Média,IDEB_Média,cluster
Acauã,6420.0,6.2,5.6,661.0,547.0,0.5,3.9,0.0,0.0,604.0,5.9,1
Agricolândia,4940.0,5.2,5.2,619.0,567.0,2.2,1.3,0.3,1.1,593.0,5.2,2
Água Branca,17573.0,6.8,5.6,719.0,636.0,0.5,1.9,0.0,0.0,677.5,6.199999999999999,1
Alagoinha do Piauí,6819.0,5.3,5.7,618.0,568.0,1.2,5.1,0.9,2.1,593.0,5.5,2
Alegrete do Piauí,4634.0,5.8,5.0,624.0,525.0,1.5,4.3,0.0,0.3,574.5,5.4,2
Alto Longá,13479.0,5.6,5.0,680.0,562.0,0.4,2.3,0.2,0.0,621.0,5.3,1
Altos,47453.0,7.0,5.6,625.0,573.0,1.4,2.5,0.1,0.3,599.0,6.3,1
Alvorada do Gurguéia,5322.0,4.8,3.2,590.0,530.0,1.9,2.4,0.8,4.0,560.0,4.0,0
Amarante,17234.0,4.4,4.3,555.0,482.0,1.4,2.4,0.0,0.5,518.5,4.35,2
Angical do Piauí,6827.0,6.8,5.2,725.0,605.0,1.2,1.1,0.0,0.0,665.0,6.0,1
Anísio de Abreu,9407.0,5.3,5.0,623.0,568.0,1.2,5.1,0.0,0.0,595.5,5.15,1
Antônio Almeida,3152.0,6.1,5.6,661.0,601.0,0.0,2.1,0.0,0.0,631.0,5.85,1
Aroazes,5369.0,5.8,4.6,577.0,520.0,0.9,2.2,0.0,1.6,548.5,5.199999999999999,2
Aroeiras do Itaim,2690.0,5.1,4.8,676.0,583.0,0.0,9.1,0.0,0.0,629.5,4.949999999999999,1
Arraial,4520.0,5.4,4.3,747.0,641.0,1.4,1.9,0.0,0.4,694.0,4.85,1
Assunção do Piauí,7452.0,5.7,4.3,658.0,581.0,1.3,6.1,0.0,2.1,619.5,5.0,1
Avelino Lopes,10866.0,4.6,4.2,588.0,489.0,0.7,6.7,0.0,0.0,538.5,4.4,2
Baixa Grande do Ribeiro,13272.0,5.8,5.5,696.0,585.0,1.8,3.7,0.1,0.2,640.5,5.65,1
Barra D'Alcântara,3995.0,6.1,4.3,703.0,554.0,0.0,1.9,0.0,0.0,628.5,5.199999999999999,1
Barras,47938.0,5.6,4.6,617.0,539.0,0.5,2.9,0.1,0.9,578.0,5.1,2
Barreiras do Piauí,3264.0,4.1,2.6,591.0,481.0,3.4,6.3,2.0,9.5,536.0,3.3499999999999996,0
Barro Duro,6640.0,5.4,3.5,563.0,477.0,2.9,4.5,0.5,4.9,520.0,4.45,0
Batalha,26300.0,4.9,5.3,591.0,509.0,1.6,5.0,0.4,1.0,550.0,5.1,2
Bela Vista do Piauí,4091.0,6.8,5.5,723.0,663.0,0.4,3.1,0.0,0.0,693.0,6.15,1
Belém do Piauí,3423.0,6.8,5.1,758.0,631.0,0.0,1.4,0.0,0.0,694.5,5.949999999999999,1
Beneditinos,9929.0,6.3,5.3,636.0,544.0,6.1,8.3,0.0,0.5,590.0,5.8,1
Bertolínia,5562.0,4.9,4.2,558.0,472.0,4.1,2.6,0.3,2.9,515.0,4.550000000000001,0
Betânia do Piauí,6220.0,4.8,4.0,656.0,566.0,3.6,5.1,0.4,1.7,611.0,4.4,0
Boa Hora,6902.0,4.5,4.5,589.0,489.0,1.6,2.2,0.0,0.6,539.0,4.5,2
Bocaina,4078.0,5.1,4.2,605.0,511.0,1.6,1.8,0.0,0.0,558.0,4.65,2
Bom Jesus,28796.0,7.3,5.2,786.0,653.0,4.0,4.6,0.0,1.1,719.5,6.25,1
