Cidades,Taxa_Mortalidade na Infância (nº absoluto) (2023),Taxa_Taxa de atendimento do ensino infantil,Taxa_Desnutrição na Infância (2024),cluster
Acauã,0.00031152647975077883,0.38,0.47,3
Agricolândia,0.0,0.53,1.42,4
Alagoinha do Piauí,0.0,0.38,0.89,3
Alegrete do Piauí,0.00021579628830384117,0.59,0.0,0
Alto Longá,0.00014837895986349135,0.56,0.64,0
Altos,0.00025288179883252904,0.53,1.02,4
Alvorada do Gurguéia,0.0,0.52,0.26,0
Amarante,0.00046419867703377044,0.52,1.07,1
Angical do Piauí,0.0004394316683755676,0.42,0.56,3
Antônio Almeida,0.0,0.58,0.68,0
Anísio de Abreu,0.0006378228978420325,0.47,0.35,1
Aroazes,0.0005587632706276774,0.57,0.38,1
Aroeiras do Itaim,0.0003717472118959108,0.53,1.41,4
Arraial,0.00022123893805309734,0.75,1.56,2
Assunção do Piauí,0.00013419216317767042,0.61,1.36,2
Avelino Lopes,0.00018406037180195104,0.39,0.89,3
Baixa Grande do Ribeiro,0.0002260397830018083,0.48,0.74,4
Barra D'Alcântara,0.00025031289111389235,0.57,0.0,0
Barras,0.0001877425007301097,0.64,0.91,2
Barreiras do Piauí,0.0006127450980392157,0.4,0.38,3
Barro Duro,0.00015060240963855423,0.53,0.34,0
Batalha,7.604562737642586e-05,0.5,1.42,4
Bela Vista do Piauí,0.0,0.36,0.63,3
Belém do Piauí,0.00029214139643587495,0.81,0.0,0
Beneditinos,0.00010071507704703394,0.52,0.18,0
Bertolínia,0.0,0.46,3.32,4
Betânia do Piauí,0.0003215434083601286,0.48,1.02,4
Boa Hora,0.00043465662126919734,0.58,0.49,1
Bocaina,0.0004904364884747426,0.52,2.86,4
Bom Jesus,0.00017363522711487706,0.49,0.33,0
Bom Princípio do Piauí,0.00035486160397445,0.47,0.28,3
Bonfim do Piauí,0.00033823778116015557,0.47,0.76,4
Boqueirão do Piauí,0.00015278838808250572,0.52,0.73,4
Brasileira,0.0,0.54,0.0,0
Brejo do Piauí,0.00025614754098360657,0.38,0.42,3
Buriti dos Lopes,0.0,0.53,1.65,4
Buriti dos Montes,0.00013451708366962604,0.69,0.26,0
Cabeceiras do Piauí,0.0,0.55,0.34,0
Cajazeiras do Piauí,0.00032175032175032174,0.62,0.5,0
Cajueiro da Praia,0.00025135101168782207,0.52,0.87,4
Caldeirão Grande do Piauí,0.00036343812465927677,0.65,1.1,2
Campinas do Piauí,0.0002025111381125962,0.56,0.9,4
Campo Alegre do Fidalgo,0.0002166377816291161,0.48,0.86,4
Campo Grande do Piauí,0.0003322259136212625,0.5,0.0,0
Campo Largo do Piauí,0.0004043671653861706,0.61,0.74,1
Campo Maior,0.00019653658856157055,0.55,0.69,0
Canavieira,0.00029291154071470416,0.59,0.6,0
Canto do Buriti,0.00020655822359927706,0.43,1.33,4
Capitão Gervásio Oliveira,0.0,0.64,0.0,0
Capitão de Campos,0.00018018018018018018,0.61,0.5,0
Caracol,0.0001938360147315371,0.5,0.17,0
Caraúbas do Piauí,0.00035523978685612787,0.41,0.25,3
Caridade do Piauí,0.00039737730975561295,0.57,0.5,1
Castelo do Piauí,5.184570717544587e-05,0.53,0.18,0
Caxingó,0.000363901018922853,0.43,0.47,3
Cocal,0.0001417836381681554,0.44,1.24,4
Cocal de Telha,0.00020362451639177357,0.57,0.39,0
Cocal dos Alves,0.0004697776385844034,0.45,0.46,3
Coivaras,0.00048579062424095217,0.51,1.61,4
Colônia do Gurguéia,0.00016260162601626016,0.53,0.87,4
Colônia do Piauí,0.00014297969688304262,0.58,0.0,0
Conceição do Canindé,0.0,0.5,0.62,4
Coronel José Dias,0.00023529411764705883,0.52,0.0,0
Corrente,0.00029327663318425105,0.45,1.48,4
Cristalândia do Piauí,0.00013594344752582924,0.39,1.04,4
Cristino Castro,0.00019042178425211843,0.42,0.51,3
Curimatá,0.000709849157054126,0.5,0.51,1
Currais,0.0,0.53,0.27,0
Curral Novo do Piauí,0.0003942440370589395,0.54,0.0,0
Curralinhos,0.00045320643553138455,0.42,1.47,4
Demerval Lobão,0.0004280821917808219,0.49,0.46,1
Dirceu Arcoverde,0.0001417635384179189,0.45,2.37,4
Dom Expedito Lopes,0.00047468354430379745,0.5,0.28,1
Dom Inocêncio,0.0,0.62,1.4,2
Domingos Mourão,0.000245398773006135,0.42,0.0,3
Elesbão Veloso,0.0001469831704269861,0.5,0.89,4
Eliseu Martins,0.0,0.45,1.9,4
Esperantina,0.00017085672443251158,0.49,0.9,4
Fartura do Piauí,0.00018925056775170325,0.67,0.0,0
Flores do Piauí,0.00022655188038060717,0.49,1.01,4
Floresta do Piauí,0.0,0.61,0.0,0
Floriano,0.00014507705203430267,0.47,1.17,4
Francinópolis,0.0,0.52,1.35,4
Francisco Ayres,0.0,0.53,1.21,4
Francisco Macedo,0.0003414134516899966,0.76,0.0,0
Francisco Santos,0.0002428068471530897,0.52,0.84,4
Fronteiras,0.00019495077492933034,0.48,0.92,4
Geminiano,0.00018365472910927456,0.37,1.52,4
Gilbués,9.18105031215571e-05,0.33,0.69,3
Guadalupe,0.00029211295034079843,0.59,0.47,0
Guaribas,0.0004677268475210477,0.45,1.26,4
Hugo Napoleão,0.0008527572484366117,0.62,0.79,1
Ilha Grande,0.00021565667457407807,0.42,0.16,3
Inhuma,0.00020056157240272763,0.52,0.41,0
Ipiranga do Piauí,0.00010615711252653928,0.59,0.44,0
Isaías Coelho,0.0,0.43,0.23,3
Itainópolis,0.00018535681186283596,0.5,0.2,0
Itaueira,9.687106461300009e-05,0.53,0.01,0
Jacobina do Piauí,0.0,0.59,0.57,0
Jaicós,0.00034232897814800024,0.36,0.8,3
Jardim do Mulato,0.0004784688995215311,0.41,0.35,3
Jatobá do Piauí,0.0,0.78,0.0,0
Jerumenha,0.00044474093840338,0.57,0.0,0
Joaquim Pires,0.00014402995823131211,0.47,0.72,4
Joca Marques,0.0007415647015202076,0.45,1.18,1
José de Freitas,0.00023496792687798115,0.4,0.57,3
João Costa,0.0003367003367003367,0.48,1.11,4
Juazeiro do Piauí,0.00019179133103183735,0.67,0.78,2
Jurema,0.0006779661016949153,0.62,4.01,2
Júlio Borges,0.0003711952487008166,0.44,1.04,4
Lagoa Alegre,0.0,0.43,0.93,4
Lagoa de São Francisco,0.00078976465013426,0.48,1.12,1
Lagoa do Barro do Piauí,0.0,0.41,0.0,3
Lagoa do Piauí,0.0,0.57,0.0,0
Lagoa do Sítio,0.00022123893805309734,0.44,0.0,3
Lagoinha do Piauí,0.0003402517863218782,0.45,1.42,4
Landri Sales,0.0003836562440053712,0.57,0.61,1
Luzilândia,0.00023645320197044335,0.58,0.59,0
Luís Correia,0.0003589961163147417,0.51,0.85,4
Madeiro,0.0001245019920318725,0.57,0.34,0
Manoel Emídio,0.0,0.63,1.11,2
Marcolândia,0.00011719207781553967,0.43,0.63,3
Marcos Parente,0.0,0.51,0.39,0
Massapê do Piauí,0.0,0.51,0.0,0
Matias Olímpio,0.00046988065031482005,0.56,0.35,1
Miguel Alves,0.00027993779160186626,0.46,1.44,4
Miguel Leão,0.0,0.64,0.0,0
Milton Brandão,0.0,0.49,1.16,4
Monsenhor Gil,0.00019502681618722574,0.46,1.29,4
Monsenhor Hipólito,0.0005279134221987594,0.46,0.22,3
Monte Alegre do Piauí,0.0,0.51,2.18,4
Morro Cabeça no Tempo,0.0,0.5,0.96,4
Morro do Chapéu do Piauí,0.0001556420233463035,0.58,0.57,0
Murici dos Portelas,0.00010207206287639073,0.58,0.92,2
Nazaré do Piauí,0.00015003750937734434,0.49,0.52,4
Nazária,0.0,0.53,0.68,4
Nossa Senhora de Nazaré,0.0,0.61,0.0,0
Nossa Senhora dos Remédios,0.00035190615835777126,0.7,2.45,2
Nova Santa Rita,0.0,0.62,1.75,2
Novo Oriente do Piauí,0.0,0.55,1.15,2
Novo Santo Antônio,0.002829854969932791,0.51,1.54,1
Oeiras,0.0,0.56,0.44,0
Olho D'Água do Piauí,0.0003792188092529389,0.74,1.22,2
Padre Marcos,0.0,0.52,0.0,0
Paes Landim,0.0,0.61,0.4,0
Pajeú do Piauí,0.0,0.32,0.0,3
Palmeira do Piauí,0.0006058158319870759,0.54,0.92,1
Palmeirais,7.539203860072376e-05,0.63,1.86,2
Paquetá,0.0007867820613690008,0.36,0.42,3
Parnaguá,0.0016826685143026823,0.45,0.99,1
Parnaíba,0.0,0.64,1.3,2
Passagem Franca do Piauí,0.0002418379685610641,0.47,1.38,4
Patos do Piauí,0.0,0.59,0.88,2
Pau D'Arco do Piauí,0.0015463917525773195,0.55,0.52,1
Paulistana,0.0,0.35,0.75,3
Pavussu,0.002205071664829107,0.59,0.0,1
Pedro II,2.6389402016150313e-05,0.44,0.86,4
Pedro Laurentino,0.0,0.51,1.12,4
Picos,0.00020459742447948007,0.5,0.59,4
Pimenteiras,8.817564588660612e-05,0.61,0.99,2
Pio IX,0.00017032873445750298,0.61,0.83,2
Piracuruca,0.00013866740622616653,0.46,0.76,4
Piripiri,0.00016784155756965425,0.55,0.51,0
Porto,0.0,0.58,0.88,2
Porto Alegre do Piauí,0.0,0.2,0.47,3
Prata do Piauí,0.0,0.68,0.45,0
Queimada Nova,0.0,0.41,0.43,3
Redenção do Gurguéia,0.0002382654276864427,0.51,1.07,4
Regeneração,0.00023346757719021772,0.5,1.08,4
Riacho Frio,0.0,0.49,0.79,4
Ribeira do Piauí,0.0002466091245376079,0.57,0.4,0
Ribeiro Gonçalves,0.0,0.51,0.53,0
Rio Grande do Piauí,0.00017238407171177384,0.59,2.25,2
Santa Cruz do Piauí,0.0,0.62,0.36,0
Santa Cruz dos Milagres,0.0,0.57,1.11,2
Santa Filomena,0.0,0.44,0.7,4
Santa Luz,0.0005622188905547226,0.5,0.35,1
Santa Rosa do Piauí,0.0,0.57,0.42,0
Santana do Piauí,0.0007272727272727272,0.58,1.25,1
Santo Antônio de Lisboa,0.0003425244048638465,0.47,0.34,3
Santo Antônio dos Milagres,0.0,0.71,5.04,2
Santo Inácio do Piauí,0.0,0.46,1.18,4
Sebastião Barros,0.0003123048094940662,0.55,0.0,0
Sebastião Leal,0.0,0.33,0.98,3
Sigefredo Pacheco,0.00021141649048625792,0.5,0.25,0
Simplício Mendes,7.209805335255949e-05,0.61,2.64,2
Simões,0.00027874564459930314,0.49,0.23,0
Socorro do Piauí,0.0,0.44,1.17,4
Sussuapara,0.0004823151125401929,0.61,0.66,1
São Braz do Piauí,0.0004589261128958238,0.65,0.0,0
São Francisco de Assis do Piauí,0.0005384063173007897,0.46,1.52,4
São Francisco do Piauí,0.000370919881305638,0.6,0.49,0
São Félix do Piauí,0.0,0.63,0.0,0
São Gonçalo do Gurguéia,0.00033932813030200206,0.36,1.96,4
São Gonçalo do Piauí,0.0002067397146991937,0.53,0.01,0
São José do Divino,0.0002065688907250568,0.69,0.33,0
São José do Peixe,0.0,0.65,0.0,0
São José do Piauí,0.0,0.37,1.23,4
São João da Canabrava,0.0,0.57,0.0,0
São João da Fronteira,0.0,0.5,0.34,0
São João da Serra,0.0,0.73,1.19,2
São João da Varjota,0.0,0.58,0.84,2
São João do Arraial,0.0001221597849987784,0.52,0.64,4
São João do Piauí,0.00023341580691844453,0.52,0.53,0
São Julião,0.0,0.57,0.35,0
São Lourenço do Piauí,0.00022675736961451248,0.34,0.0,3
São Luis do Piauí,0.00043308791684711995,0.4,1.74,4
São Miguel da Baixa Grande,0.00044072278536800354,0.56,1.03,1
São Miguel do Fidalgo,0.0,0.57,1.3,2
São Miguel do Tapuio,0.00011393414606357525,0.54,0.1,0
São Pedro do Piauí,0.0002908033442384587,0.57,0.51,0
São Raimundo Nonato,0.0001284224585195459,0.46,0.25,3
Tamboril do Piauí,0.0,0.38,0.0,3
Tanque do Piauí,0.0004317789291882556,0.37,0.0,3
Teresina,0.00019392820039247375,0.5,0.55,4
União,0.0001517812615191136,0.49,0.69,4
Uruçuí,0.00035710034519700033,0.41,1.04,4
Valença do Piauí,0.00013465595403743436,0.64,0.49,0
Vera Mendes,0.0,0.53,0.0,0
Vila Nova do Piauí,0.0,0.68,2.61,2
Várzea Branca,0.0,0.45,1.13,4
Várzea Grande,0.0,0.52,0.0,0
Wall Ferraz,0.0,0.45,0.0,3
Água Branca,0.00011381095999544757,0.57,1.49,2
