Cidades,tx_acesso_agua_rede_geral,tx_tratamento_esgoto,tx_cobertura_coleta_residuos,destino_correto,banheiro_no_domicílio,drenagem e manejo de águas pluviais,politica_municipal_baseamento,cluster
acaua,25.5,0.09,35.61,0,86.73,1,1,2
agricolandia,97.5,5.57,81.9,0,98.43,0,1,0
agua branca,91.99,26.04,97.4,0,98.16,0,1,1
alagoinha do piaui,54.49,15.88,59.13,0,86.52,0,1,1
alegrete do piaui,61.0,0.69,69.67,0,92.85,0,1,0
alto longa,63.3,0.94,48.07,0,92.24,1,0,3
altos,63.92,15.23,71.29,0,92.95,0,1,1
alvorada do gurgueia,63.83,0.54,41.24,0,93.11,0,0,3
amarante,79.14,4.76,48.85,0,90.89,1,1,3
angical do piaui,85.04,1.22,85.87,0,97.43,0,0,0
anisio de abreu,59.64,1.19,62.97,0,81.92,0,1,3
antonio almeida,94.04,18.85,82.99,1,94.42,0,1,1
aroazes,67.47,4.13,68.17,0,95.38,0,1,0
aroeiras do itaim,63.94,0.43,61.45,0,87.02,0,1,3
arraial,90.8,2.02,57.53,0,86.82,0,1,3
assuncao do piaui,79.63,2.3,39.17,0,83.59,0,1,3
avelino lopes,64.54,0.19,63.71,0,90.34,1,1,3
baixa grande do ribeiro,83.49,15.4,62.08,1,81.87,1,1,1
barra d'alcantara,96.79,0.14,64.16,0,96.1,0,1,0
barras,62.77,0.82,47.56,1,79.03,0,1,3
barreiras do piaui,68.15,1.38,58.26,0,81.4,0,0,3
barro duro,85.03,2.2,75.99,0,96.51,0,1,0
batalha,64.92,0.92,44.98,0,88.83,1,1,3
bela vista do piaui,96.51,0.89,61.82,0,97.24,0,0,0
belem do piaui,60.57,0.8,63.28,1,90.45,0,1,3
beneditinos,80.54,23.3,60.71,0,84.05,1,1,1
bertolinia,89.79,0.17,69.79,0,95.92,0,1,0
betania do piaui,0.15,0.05,35.28,0,78.81,0,1,2
boa hora,88.95,0.91,38.25,0,81.22,0,1,3
bocaina,94.29,13.06,75.2,0,96.01,0,1,1
bom jesus,86.3,23.43,82.72,0,95.74,1,1,1
bom principio do piaui,84.77,0.11,52.98,0,86.2,0,1,3
bonfim do piaui,15.41,0.0,29.75,0,56.09,0,1,2
boqueirao do piaui,93.08,0.57,68.37,0,93.61,1,1,0
brasileira,67.55,0.74,83.48,0,95.0,0,0,0
brejo do piaui,58.61,0.07,38.56,0,89.15,0,1,3
buriti dos lopes,67.45,2.55,73.4,0,89.09,0,1,0
buriti dos montes,84.93,0.34,72.52,0,87.47,0,1,0
cabeceiras do piaui,46.66,12.25,22.36,1,84.26,0,1,2
cajazeiras do piaui,93.41,0.0,37.66,0,88.35,0,0,3
cajueiro da praia,3.08,0.16,70.71,0,92.16,0,1,2
caldeirao grande do piaui,0.0,0.05,40.96,0,70.92,0,1,2
campinas do piaui,40.99,4.12,42.4,0,87.07,0,1,2
campo alegre do fidalgo,36.63,1.0,29.52,0,90.23,0,0,2
campo grande do piaui,42.01,6.77,70.54,1,88.96,0,0,3
campo largo do piaui,69.27,0.14,24.65,1,63.06,1,1,2
campo maior,84.04,9.0,80.84,1,98.14,1,0,0
canavieira,70.78,17.41,49.38,0,92.98,0,1,1
canto do buriti,70.62,8.92,63.78,0,94.77,1,1,1
capitao de campos,68.51,0.77,70.93,0,93.43,0,1,0
capitao gervasio oliveira,33.43,2.62,39.51,0,75.28,0,1,2
caracol,18.75,0.18,49.76,0,69.24,1,0,2
caraubas do piaui,66.89,0.1,38.47,0,71.45,1,0,2
caridade do piaui,56.5,2.8,55.33,0,86.62,0,1,3
castelo do piaui,67.73,2.15,68.76,1,89.52,0,1,3
caxingo,79.3,0.62,52.08,0,82.41,0,0,3
cocal,52.31,0.65,45.62,0,85.21,1,1,3
cocal de telha,82.41,1.09,60.01,0,92.48,0,1,0
cocal dos alves,67.69,0.27,30.56,0,84.73,0,1,3
coivaras,57.5,0.23,49.57,1,87.88,0,1,3
colonia do gurgueia,82.55,1.07,84.29,0,99.03,1,1,0
colonia do piaui,80.46,1.73,52.71,0,95.01,0,0,3
conceicao do caninde,69.79,2.05,58.44,0,94.96,0,1,0
coronel jose dias,30.51,0.0,46.01,0,71.04,0,1,2
corrente,75.57,12.64,63.2,1,87.48,0,1,1
cristalandia do piaui,16.25,1.65,47.18,0,85.4,1,1,2
cristino castro,75.8,4.31,70.77,0,95.39,0,1,0
curimata,68.74,0.99,67.37,0,94.15,1,1,0
currais,84.83,2.0,37.88,0,85.72,0,0,3
curral novo do piaui,28.51,0.06,61.88,0,88.26,0,1,2
curralinhos,88.97,0.0,44.94,0,78.48,0,1,3
demerval lobao,87.22,19.73,82.69,0,97.03,1,1,1
dirceu arcoverde,30.34,0.84,39.81,0,66.34,0,0,2
dom expedito lopes,89.26,0.72,95.66,0,99.37,1,1,0
dom inocencio,15.39,0.03,43.52,0,91.65,0,1,2
domingos mourao,50.99,0.68,32.18,0,73.31,1,1,2
elesbao veloso,80.05,10.97,71.85,0,93.95,0,1,1
eliseu martins,92.63,2.93,77.74,0,96.61,0,1,0
esperantina,78.53,4.01,62.39,0,88.64,1,1,3
fartura do piaui,23.35,0.29,24.94,0,56.68,0,1,2
flores do piaui,79.64,0.45,66.28,0,94.0,0,0,0
floresta do piaui,88.28,3.13,45.9,0,90.26,0,1,3
floriano,88.41,23.42,89.3,1,96.75,0,1,1
francinopolis,83.38,0.37,75.53,0,92.15,0,1,0
francisco ayres,93.63,0.26,48.37,0,89.68,0,1,3
francisco macedo,53.24,0.1,49.64,1,86.76,1,1,3
francisco santos,60.74,4.9,60.4,0,92.92,0,1,3
fronteiras,68.42,39.35,70.36,0,89.52,0,1,1
geminiano,86.96,0.31,84.76,0,97.98,0,0,0
gilbues,66.5,0.56,64.09,0,84.11,0,1,3
guadalupe,91.16,56.47,91.17,0,96.43,0,1,1
guaribas,55.52,0.38,30.52,0,76.16,0,1,2
hugo napoleao,88.29,4.13,94.29,0,98.65,0,1,0
ilha grande,87.94,21.92,89.2,0,95.25,0,1,1
inhuma,91.65,1.13,80.48,1,96.23,1,1,0
ipiranga do piaui,87.92,16.78,66.1,0,98.35,1,1,1
isaias coelho,45.79,19.57,35.01,1,80.47,0,1,2
itainopolis,62.09,7.92,41.84,0,89.98,0,1,3
itaueira,59.36,2.42,60.61,0,89.57,0,1,3
jacobina do piaui,44.94,0.05,45.59,0,89.94,0,1,3
jaicos,39.01,6.7,55.71,0,90.14,0,0,3
jardim do mulato,94.48,1.82,47.49,0,94.13,0,1,3
jatoba do piaui,61.83,0.61,34.49,0,91.19,1,1,3
jerumenha,76.76,2.28,63.95,0,91.9,0,0,0
joao costa,77.97,5.23,32.47,1,93.06,0,1,3
joaquim pires,72.67,9.23,37.05,0,77.96,0,0,3
joca marques,69.67,0.12,36.08,0,76.92,0,1,3
jose de freitas,65.31,12.59,63.78,0,91.06,1,1,1
juazeiro do piaui,74.2,0.06,44.85,0,85.77,1,1,3
julio borges,56.07,0.0,47.88,1,81.29,1,1,3
jurema,44.55,0.26,40.38,0,92.26,0,0,3
lagoa alegre,40.62,7.07,87.89,0,96.93,0,1,0
lagoa de sao francisco,69.44,0.4,35.91,0,78.52,0,0,3
lagoa do barro do piaui,28.42,3.02,33.71,0,90.81,0,1,2
lagoa do piaui,86.61,1.82,32.11,0,89.23,0,1,3
lagoa do sitio,89.75,0.76,64.66,0,90.89,1,0,0
lagoinha do piaui,97.63,1.58,52.16,0,94.75,0,1,0
landri sales,84.89,4.57,84.17,1,95.6,0,1,0
luis correia,49.22,0.82,54.03,0,86.18,1,1,3
luzilandia,60.38,1.83,63.51,0,87.16,1,0,3
madeiro,68.39,0.44,47.53,0,75.24,1,1,3
manoel emidio,74.26,0.69,69.0,0,96.65,0,1,0
marcolandia,0.25,0.14,87.85,0,82.81,0,1,2
marcos parente,93.79,12.43,88.37,0,94.63,0,1,1
massape do piaui,32.61,8.04,26.03,0,81.23,0,1,2
matias olimpio,62.87,1.22,40.15,0,80.64,0,1,3
miguel alves,51.92,2.9,31.79,0,64.86,1,1,2
miguel leao,66.01,1.23,68.32,0,94.58,0,1,0
milton brandao,58.98,0.05,36.69,0,82.04,0,0,3
monsenhor gil,81.05,3.56,62.25,0,94.42,1,1,0
monsenhor hipolito,51.74,9.26,66.63,0,90.1,0,1,1
monte alegre do piaui,76.41,0.49,41.62,0,85.43,1,1,3
morro cabeca no tempo,12.15,0.0,40.08,1,73.45,1,0,2
morro do chapeu do piaui,77.05,0.72,43.44,0,78.44,0,0,3
murici dos portelas,55.39,9.99,42.76,0,79.27,0,1,2
nazare do piaui,83.61,0.34,53.22,0,90.04,0,1,3
nazaria,73.48,1.04,45.41,0,87.66,0,0,3
nossa senhora de nazare,57.77,0.53,46.0,0,94.74,0,0,3
nossa senhora dos remedios,55.59,0.55,33.43,1,62.57,0,1,2
nova santa rita,62.32,0.15,57.81,0,92.99,0,0,3
novo oriente do piaui,94.24,0.04,39.79,0,89.75,0,1,3
novo santo antonio,61.59,2.69,73.73,0,94.82,0,0,0
oeiras,88.62,35.98,60.83,1,93.96,1,0,1
olho d'agua do piaui,64.77,0.67,53.83,0,80.73,0,1,3
padre marcos,56.83,0.68,63.92,0,97.04,0,1,0
paes landim,78.57,4.07,58.13,0,96.44,0,1,0
pajeu do piaui,63.54,1.73,37.8,0,88.97,0,0,3
palmeira do piaui,73.88,0.12,49.27,0,82.64,0,1,3
palmeirais,81.08,1.21,70.94,0,94.43,0,0,0
paqueta,52.94,0.39,46.38,0,83.75,0,0,3
parnagua,57.48,2.77,94.08,1,98.23,0,0,0
parnaiba,91.85,31.21,63.97,1,88.18,1,1,1
passagem franca do piaui,80.95,36.37,44.7,0,85.54,0,1,1
patos do piaui,56.34,8.92,22.88,0,82.02,0,1,2
pau d'arco do piaui,58.53,4.97,62.49,0,87.85,1,1,3
