Cidades,SA02 - Mortalidade prematura (30-69 anos) por DCNT,SA03 - Penta / Dose: D3 / Idade: <1 Ano,SA04 - Mortalidade infantil ≤ 1 ano,SA05  - Nº de exames especializados,cluster
Acauã,1.852995676,1.34375,2,351,2
Agricolândia,4.166666667,0.98,0,271,0
Água Branca,3.148462097,0.858824,1,628,1
Alagoinha do Piauí,3.295797858,0.855072,0,101,1
Alegrete do Piauí,1.74291939,1.313725,0,328,2
Alto Longá,2.016129032,0.991803,2,344,1
Altos,3.048647707,0.996564,10,1278,3
Alvorada do Gurguéia,2.463054187,1.116883,0,610,2
Amarante,4.401962017,0.955,4,148,0
Angical do Piauí,2.704326923,1.175676,2,562,2
Anísio de Abreu,1.581563488,1.10084,4,228,1
Antônio Almeida,4.672897196,1.037736,0,292,0
Aroazes,4.285714286,0.736842,2,378,0
Aroeiras do Itaim,0.7127583749,0.5,1,86,1
Arraial,5.571030641,0.84,0,74,0
Assunção do Piauí,3.23815131,0.926316,1,493,0
Avelino Lopes,1.920122888,0.847682,1,456,1
Baixa Grande do Ribeiro,1.480658893,0.975104,3,2,1
Barra D'Alcântara,2.033553635,0.875,1,378,1
Barras,2.809243317,0.915605,5,604,3
Barreiras do Piauí,3.39673913,0.886364,1,232,0
Barro Duro,4.098360656,0.782609,1,56,0
Batalha,2.055660974,1.058394,1,1639,1
Bela Vista do Piauí,3.449975357,1.236364,0,161,2
Belém do Piauí,2.92226768,1.171429,1,264,2
Beneditinos,3.263308179,0.824742,1,55,1
Bertolínia,4.238921002,0.757576,0,274,0
Betânia do Piauí,2.117148906,1.17284,1,340,2
Boa Hora,3.085467448,1.133333,3,250,2
Bocaina,2.784222738,0.767442,1,277,1
Bom Jesus,2.035384375,0.980276,5,4484,3
Bom Princípio do Piauí,2.9379361,0.9625,0,2,1
Bonfim do Piauí,2.882882883,1.327273,1,508,2
Boqueirão do Piauí,3.156565657,1.067568,0,404,0
Brasileira,1.664289111,0.655914,0,911,1
Brejo do Piauí,2.036659878,1.052632,1,143,1
Buriti dos Lopes,2.738525578,0.842912,0,828,1
Buriti dos Montes,3.432494279,1.119403,0,1009,0
Cabeceiras do Piauí,2.154328241,1.27027,0,379,2
Cajazeiras do Piauí,2.009377093,1.033333,0,75,1
Cajueiro da Praia,1.80785124,1.106796,2,89,1
Caldeirão Grande do Piauí,1.544998069,1.149254,2,270,2
Campinas do Piauí,0.395256917,0.911111,0,103,1
Campo Alegre do Fidalgo,1.317523057,1.070175,0,65,1
Campo Grande do Piauí,3.692514267,0.784615,2,204,0
Campo Largo do Piauí,4.213938412,1.060241,2,403,0
Campo Maior,3.074331438,1.142169,7,2993,3
Canavieira,3.071253071,0.775,1,81,1
Canto do Buriti,3.479544496,0.869403,2,511,0
Capitão de Campos,2.224694105,0.846154,1,193,1
Capitão Gervásio Oliveira,3.105590062,1.266667,0,101,2
Caracol,2.789699571,0.984848,1,22,1
Caraúbas do Piauí,4.562737643,1.087719,2,139,0
Caridade do Piauí,2.140410959,0.898876,2,312,1
Castelo do Piauí,2.828546562,1.055838,1,900,1
Caxingó,2.00080032,1.327869,2,380,2
Cocal,2.422253477,0.857143,1,57,1
Cocal de Telha,4.422999598,1.056604,0,496,0
Cocal dos Alves,3.584229391,1.5,2,158,2
Coivaras,2.536783359,1.042553,1,178,1
Colônia do Gurguéia,3.749147921,1.262295,1,151,2
Colônia do Piauí,2.578796562,0.953488,0,60,1
Conceição do Canindé,2.040816327,1.282609,0,758,2
Coronel José Dias,1.876172608,0.95122,1,20,1
Corrente,2.602049114,0.817734,7,3852,3
Cristalândia do Piauí,2.723970944,0.9875,0,185,1
Cristino Castro,3.396306517,0.849673,1,1001,0
Curimatá,1.15942029,1.019608,4,756,1
Currais,0.9182736455,1.029412,0,443,1
Curral Novo do Piauí,3.161698284,1.155556,1,581,2
Curralinhos,3.438113949,1.142857,2,497,0
Demerval Lobão,2.442473326,0.991342,5,1450,3
Dirceu Arcoverde,1.490757305,0.912088,0,105,1
Dom Expedito Lopes,1.809954751,0.835821,1,166,1
Dom Inocêncio,3.233455486,1.138298,1,109,2
Domingos Mourão,1.586462189,1.25,0,280,2
Elesbão Veloso,2.547049667,0.920354,0,1452,1
Eliseu Martins,4.539264639,0.849057,0,110,0
Esperantina,2.426056883,1.09505,2,9378,3
Fartura do Piauí,2.080732418,1.457627,1,86,2
Flores do Piauí,1.394700139,1.081081,0,140,1
Floresta do Piauí,1.62999185,1.545455,0,111,2
Floriano,2.61951539,0.854265,7,13060,3
Francinópolis,1.791312136,1.078947,0,222,1
Francisco Ayres,1.89483657,1.069767,0,93,1
Francisco Macedo,2.741603838,1.2,0,101,2
Francisco Santos,3.327787022,1.012987,1,217,0
Fronteiras,2.481389578,0.855769,2,341,1
Geminiano,2.60707635,0.689189,0,111,1
Gilbués,1.469661978,1.017647,1,717,1
Guadalupe,2.400480096,1.256637,1,220,2
Guaribas,0.5224660397,1.0,1,243,1
Hugo Napoleão,3.504672897,1.0,2,73,0
Ilha Grande,2.784222738,1.082569,1,164,1
Inhuma,3.754861204,0.883436,2,79,0
Ipiranga do Piauí,3.41588386,1.126582,0,283,0
Isaías Coelho,3.899721448,0.898148,0,256,0
Itainópolis,3.001412429,0.872093,2,192,1
Itaueira,3.244894064,0.87156,0,5,1
Jacobina do Piauí,1.371271855,1.254545,0,399,2
Jaicós,2.131691142,1.031963,3,836,1
Jardim do Mulato,4.349927501,1.129032,2,80,0
Jatobá do Piauí,3.434950623,0.966667,0,670,0
Jerumenha,2.299908004,1.037037,2,228,1
João Costa,1.967213115,1.565217,1,149,2
Joaquim Pires,3.61351139,0.95092,2,1290,0
Joca Marques,2.808988764,0.792683,2,155,1
José de Freitas,2.951593861,1.001887,2,1378,1
Juazeiro do Piauí,1.214574899,1.181818,1,160,2
Júlio Borges,0.4066693778,1.112903,1,425,1
Jurema,4.636068614,1.179104,3,4,0
Lagoa Alegre,2.110261145,0.863636,0,232,1
Lagoa de São Francisco,2.739726027,1.15625,0,1138,2
Lagoa do Barro do Piauí,1.703577513,0.870968,0,120,1
Lagoa do Piauí,2.207505519,1.255814,1,4,2
Lagoa do Sítio,2.612102743,1.137931,0,126,2
Lagoinha do Piauí,8.058608059,1.576923,0,399,0
Landri Sales,2.376237624,0.816667,1,224,1
Luís Correia,2.312610529,0.954869,8,640,3
Luzilândia,2.894954508,0.987261,6,1065,3
Madeiro,2.79798545,1.008621,0,207,1
Manoel Emídio,2.307692308,0.9,0,126,1
Marcolândia,2.92786798,1.337423,0,1064,2
Marcos Parente,4.886717015,1.0,0,120,0
Massapê do Piauí,2.666666667,0.921569,0,336,1
Matias Olímpio,2.125398512,1.006329,3,914,1
Miguel Alves,2.256679042,1.090909,5,1489,3
Miguel Leão,1.639344262,1.8,0,143,2
Milton Brandão,1.551831161,0.814286,0,192,1
Monsenhor Gil,2.626262626,1.057692,1,215,1
Monsenhor Hipólito,5.444646098,1.154762,3,169,0
Monte Alegre do Piauí,2.775998292,0.807229,0,402,1
Morro Cabeça no Tempo,1.47275405,0.883333,0,255,1
Morro do Chapéu do Piauí,1.343183345,1.082192,1,244,1
Murici dos Portelas,1.614763552,1.148148,0,332,2
Nazaré do Piauí,4.567600487,0.83908,1,259,0
Nazária,1.683501684,0.397163,0,207,1
Nossa Senhora de Nazaré,4.110612855,0.981132,0,317,0
Nossa Senhora dos Remédios,2.452316076,1.091603,1,381,1
Nova Santa Rita,1.506024096,0.957447,0,135,1
Novo Oriente do Piauí,4.190844616,1.08,0,94,0
Novo Santo Antônio,2.772002772,0.657143,0,212,1
Oeiras,2.951910691,0.908497,5,8787,3
Olho D'Água do Piauí,6.441223833,0.96875,0,216,0
Padre Marcos,3.990178023,1.151515,1,471,0
Paes Landim,1.560874089,1.081633,0,104,1
Pajeú do Piauí,5.040957782,0.806452,0,191,0
Palmeira do Piauí,4.70890411,0.965517,0,195,0
Palmeirais,3.286770748,0.921569,2,69,0
Paquetá,2.491280518,1.148148,0,96,2
Parnaguá,2.029769959,0.944444,1,372,1
Parnaíba,2.444408416,0.844187,7,62,3
Passagem Franca do Piauí,1.041666667,0.666667,0,237,1
Patos do Piauí,3.442340792,1.219512,1,216,2
Pau D'Arco do Piauí,2.678093198,0.978723,0,65,1
