Municípios,IDEB fundamental,Matrículas no ensino fundamental,Matrículas no ensino médio,Docentes no ensino fundamental,Docentes no ensino médio,População no último censo,Matrículas no ensino fundamental_log,Matrículas no ensino médio_log,Docentes no ensino fundamental_log,Docentes no ensino médio_log,Cluster,Proximidade_Cluster
Acauã,5.6,764.0,228.0,53.0,15.0,6420,6.639875833826536,5.43372200355424,3.9889840465642745,2.772588722239781,0,0.8217425507003832
Agricolândia,5.2,661.0,208.0,54.0,27.0,4940,6.495265555937008,5.342334251964811,4.007333185232471,3.332204510175204,0,0.8325503093161775
Água Branca,5.6,2454.0,606.0,161.0,53.0,17573,7.805882040228621,6.408528791059498,5.087596335232384,3.9889840465642745,2,1.3275041813716055
Alagoinha do Piauí,5.7,750.0,165.0,61.0,18.0,6819,6.621405651764134,5.111987788356544,4.127134385045092,2.9444389791664403,0,0.8947772009736678
Alegrete do Piauí,5.0,568.0,151.0,44.0,17.0,4634,6.343880434126331,5.0238805208462765,3.8066624897703196,2.8903717578961645,0,0.30498333621669144
Alto Longá,5.0,1382.0,361.0,114.0,34.0,13479,7.232010331664759,5.8916442118257715,4.74493212836325,3.5553480614894135,2,0.388549976792809
Altos,5.6,6304.0,1822.0,355.0,156.0,47453,8.74909824839902,7.508238774678663,5.87493073085203,5.056245805348308,1,0.9078006497348803
Alvorada do Gurguéia,3.2,855.0,204.0,92.0,20.0,5322,6.752270376141742,5.3230099791384085,4.532599493153256,3.044522437723423,4,1.2065820348199274
Amarante,4.3,2676.0,594.0,205.0,49.0,17234,7.892452043520352,6.38856140554563,5.327876168789581,3.912023005428146,2,1.0583460793093296
Angical do Piauí,5.2,929.0,627.0,64.0,80.0,6827,6.835184586147301,6.4425401664681985,4.174387269895637,4.394449154672439,2,0.5845387489382043
Anísio de Abreu,5.0,1391.0,334.0,111.0,28.0,9407,7.238496840894365,5.814130531825066,4.718498871295094,3.367295829986474,2,0.46189034923871936
Antônio Almeida,5.6,434.0,122.0,27.0,14.0,3152,6.075346031088684,4.812184355372417,3.332204510175204,2.70805020110221,0,0.6125183395568804
Aroazes,4.6,663.0,248.0,56.0,22.0,5369,6.498282149476434,5.517452896464707,4.04305126783455,3.1354942159291497,4,0.6214970834974576
Aroeiras do Itaim,4.8,257.0,68.0,22.0,11.0,2690,5.552959584921617,4.23410650459726,3.1354942159291497,2.4849066497880004,0,1.2136534676634365
